<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	21.94	22.81	21.94	22.78	1106	0	1
2020.04.01	04:00:00	22.78	22.78	22.17	22.53	1149	0	1
2020.04.01	08:00:00	22.53	22.67	21.99	22.16	2380	0	1
2020.04.01	12:00:00	22.16	22.75	22.06	22.25	2521	0	1
2020.04.01	16:00:00	22.27	22.59	21.85	22.12	3916	0	1
2020.04.01	20:00:00	22.12	23.04	21.99	23.03	2862	0	1
2020.04.02	00:00:00	23.02	23.17	22.54	22.76	1168	0	1
2020.04.02	04:00:00	22.76	23.26	22.68	23.20	1115	0	1
2020.04.02	08:00:00	23.20	24.38	23.12	23.92	3202	0	1
2020.04.02	12:00:00	23.92	24.37	23.85	23.99	2463	0	1
2020.04.02	16:00:00	24.00	28.70	23.54	26.77	11606	0	0
2020.04.02	20:00:00	26.77	27.04	25.19	26.29	5827	0	1
2020.04.03	00:00:00	26.29	26.69	25.39	25.94	2714	0	0
2020.04.03	04:00:00	25.92	26.30	25.45	25.72	2538	0	1
2020.04.03	08:00:00	25.72	27.56	25.51	27.02	6525	0	0
2020.04.03	12:00:00	27.03	30.04	27.03	29.41	7997	0	0
2020.04.03	16:00:00	29.41	29.69	28.07	28.70	9430	0	0
2020.04.03	20:00:00	28.69	30.70	28.46	30.36	6119	0	1
2020.04.06	00:00:00	28.00	28.88	27.06	28.73	3328	0	1
2020.04.06	04:00:00	28.72	29.65	28.58	29.50	2154	0	1
2020.04.06	08:00:00	29.51	30.25	29.32	29.54	4468	0	0
2020.04.06	12:00:00	29.55	29.89	29.16	29.31	3544	0	0
2020.04.06	16:00:00	29.30	29.78	28.48	28.91	6566	0	0
2020.04.06	20:00:00	28.91	29.19	28.50	28.91	3557	0	1
2020.04.07	00:00:00	28.91	29.79	28.91	29.67	1251	0	1
2020.04.07	04:00:00	29.68	29.97	29.60	29.86	1597	0	1
2020.04.07	08:00:00	29.85	30.02	29.47	29.70	2547	0	1
2020.04.07	12:00:00	29.71	30.31	29.25	29.66	3272	0	1
2020.04.07	16:00:00	29.66	29.71	28.80	28.89	4429	0	0
2020.04.07	20:00:00	28.90	28.95	27.04	27.92	5007	0	1
2020.04.08	00:00:00	27.92	28.79	27.88	28.64	1858	0	0
2020.04.08	04:00:00	28.65	29.00	28.58	28.83	1739	0	1
2020.04.08	08:00:00	28.84	29.12	27.94	28.24	3914	0	0
2020.04.08	12:00:00	28.25	28.42	27.81	27.89	3423	0	0
2020.04.08	16:00:00	27.89	28.96	27.88	28.06	6800	0	0
2020.04.08	20:00:00	28.06	29.88	27.86	29.67	6161	0	1
2020.04.09	00:00:00	29.67	30.26	29.62	30.03	1430	0	1
2020.04.09	04:00:00	30.03	30.05	29.36	29.54	1697	0	2
2020.04.09	08:00:00	29.56	30.36	29.54	30.04	2507	0	0
2020.04.09	12:00:00	30.04	31.04	28.40	30.23	6999	0	0
2020.04.09	16:00:00	30.24	32.20	29.13	29.70	13056	0	0
2020.04.09	20:00:00	29.69	29.93	27.47	28.01	8610	0	0
2020.04.13	00:00:00	29.26	29.54	27.25	29.44	3935	0	0
2020.04.13	04:00:00	29.43	29.72	29.05	29.09	2675	0	1
2020.04.13	08:00:00	29.09	29.11	27.47	27.96	3763	0	0
2020.04.13	12:00:00	27.97	28.40	27.56	28.18	4673	0	0
2020.04.13	16:00:00	28.19	29.24	28.10	28.62	6582	0	0
2020.04.13	20:00:00	28.62	28.77	28.14	28.33	3316	0	0
2020.04.14	00:00:00	28.33	29.24	28.33	29.11	1588	0	1
2020.04.14	04:00:00	29.11	29.26	28.99	29.15	1596	0	1
2020.04.14	08:00:00	29.15	29.21	28.20	28.32	2509	0	0
2020.04.14	12:00:00	28.32	28.66	27.67	27.89	2900	0	0
2020.04.14	16:00:00	27.89	28.18	27.14	27.32	5001	0	0
2020.04.14	20:00:00	27.32	27.33	26.57	27.29	3536	0	0
2020.04.15	00:00:00	27.29	27.77	27.18	27.40	1472	0	1
2020.04.15	04:00:00	27.39	27.44	26.95	27.35	1463	0	0
2020.04.15	08:00:00	27.35	27.40	25.73	26.43	3086	0	0
2020.04.15	12:00:00	26.42	26.46	25.71	26.21	3154	0	0
2020.04.15	16:00:00	26.20	26.54	25.51	26.03	4442	0	0
2020.04.15	20:00:00	26.03	26.51	25.61	25.97	3013	0	1
2020.04.16	00:00:00	25.97	26.97	25.97	26.88	1072	0	1
2020.04.16	04:00:00	26.89	26.97	26.53	26.57	1275	0	1
2020.04.16	08:00:00	26.61	26.87	26.32	26.82	2249	0	1
2020.04.16	12:00:00	26.82	26.87	26.25	26.35	2543	0	1
2020.04.16	16:00:00	26.35	26.45	24.92	25.05	3910	0	0
2020.04.16	20:00:00	25.06	26.16	24.92	25.95	2490	0	0
2020.04.17	00:00:00	26.70	26.96	26.27	26.82	2017	0	1
2020.04.17	04:00:00	26.81	26.93	26.53	26.66	1171	0	1
2020.04.17	08:00:00	26.65	26.72	25.47	25.72	3171	0	1
2020.04.17	12:00:00	25.72	26.55	25.07	25.16	3512	0	1
2020.04.17	16:00:00	25.15	25.90	24.83	25.43	5387	0	1
2020.04.17	20:00:00	25.43	25.54	24.81	25.47	2511	0	1
2020.04.20	00:00:00	25.14	25.34	24.30	24.30	1700	0	1
2020.04.20	04:00:00	24.30	24.49	23.15	24.09	3064	0	1
2020.04.20	08:00:00	24.08	24.35	23.40	23.40	2172	0	1
2020.04.20	12:00:00	23.40	23.74	22.39	22.60	3494	0	1
