<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.17	16:00:00	58.75	58.96	58.37	58.50	3337	0	3
2020.01.17	20:00:00	58.51	58.76	58.29	58.76	1164	0	3
2020.01.20	00:00:00	59.47	59.60	59.03	59.14	944	0	3
2020.01.20	04:00:00	59.14	59.22	59.08	59.17	326	0	3
2020.01.20	08:00:00	59.17	59.21	58.73	58.85	1103	0	3
2020.01.20	12:00:00	58.85	58.99	58.65	58.90	931	0	3
2020.01.20	16:00:00	58.90	59.00	58.54	58.84	1590	0	3
2020.01.21	00:00:00	58.84	58.84	58.55	58.57	455	0	3
2020.01.21	04:00:00	58.57	58.61	58.20	58.22	676	0	3
2020.01.21	08:00:00	58.22	58.23	57.81	57.99	1762	0	3
2020.01.21	12:00:00	57.98	58.02	57.68	57.98	1759	0	3
2020.01.21	16:00:00	57.97	58.60	57.95	58.59	2661	0	3
2020.01.21	20:00:00	58.59	58.74	58.17	58.22	1247	0	3
2020.01.22	00:00:00	58.26	58.34	58.04	58.04	330	0	3
2020.01.22	04:00:00	58.03	58.20	58.01	58.03	560	0	3
2020.01.22	08:00:00	58.04	58.09	57.81	57.84	1022	0	3
2020.01.22	12:00:00	57.83	58.10	57.66	57.68	1299	0	3
2020.01.22	16:00:00	57.69	57.72	56.66	56.67	3508	0	3
2020.01.22	20:00:00	56.66	57.05	56.26	56.26	1778	0	3
2020.01.23	00:00:00	56.12	56.24	55.64	55.80	1007	0	3
2020.01.23	04:00:00	55.80	55.98	55.55	55.60	834	0	3
2020.01.23	08:00:00	55.60	56.03	55.56	55.90	1472	0	3
2020.01.23	12:00:00	55.89	55.91	55.29	55.37	1769	0	3
2020.01.23	16:00:00	55.36	55.61	54.77	54.94	4152	0	3
2020.01.23	20:00:00	54.94	55.76	54.84	55.61	1869	0	3
2020.01.24	00:00:00	55.63	55.79	55.45	55.55	530	0	5
2020.01.24	04:00:00	55.56	55.93	55.52	55.75	747	0	5
2020.01.24	08:00:00	55.75	55.93	55.35	55.35	1071	0	3
2020.01.24	12:00:00	55.35	55.52	55.16	55.26	1403	0	4
2020.01.24	16:00:00	55.25	55.25	53.75	54.17	3914	0	3
2020.01.24	20:00:00	54.16	54.39	53.91	54.23	2077	0	3
2020.01.27	00:00:00	53.20	53.25	52.15	53.04	2147	0	3
2020.01.27	04:00:00	53.03	53.03	52.78	52.87	861	0	3
2020.01.27	08:00:00	52.87	53.13	52.17	52.36	2224	0	3
2020.01.27	12:00:00	52.37	52.85	52.13	52.53	2668	0	3
2020.01.27	16:00:00	52.52	53.53	52.43	52.68	5568	0	3
2020.01.27	20:00:00	52.69	53.22	52.67	52.75	2280	0	3
2020.01.28	00:00:00	52.76	53.06	52.74	52.93	566	0	3
2020.01.28	04:00:00	52.93	53.11	52.77	53.09	521	0	5
2020.01.28	08:00:00	53.09	53.24	52.71	52.88	1659	0	3
2020.01.28	12:00:00	52.87	53.59	52.67	53.26	3210	0	3
2020.01.28	16:00:00	53.26	53.90	52.93	53.39	4250	0	3
2020.01.28	20:00:00	53.38	53.87	53.24	53.87	1490	0	3
2020.01.29	00:00:00	53.87	54.05	53.64	53.94	851	0	3
2020.01.29	04:00:00	53.94	54.22	53.89	54.01	574	0	3
